Distance_(microns),Gray_Value
0.000,1
4.900,3
9.800,2
14.700,4
19.600,5
24.500,3
29.400,2
34.300,2
39.200,2
44.100,0
49.000,1
53.900,0
58.800,0
63.700,2
68.600,3
73.500,4
78.400,3
83.300,1
88.200,0
93.100,1
98.000,3
102.900,4
107.800,2
112.700,1
117.600,4
122.500,4
127.400,2
132.300,2
137.200,3
142.100,3
147.000,2
151.900,4
156.800,5
161.700,4
166.600,3
171.500,2
176.400,1
181.300,3
186.200,3
191.100,3
196.000,3
200.900,2
205.800,4
210.700,3
215.600,3
220.500,4
225.400,3
230.300,0
235.200,4
240.100,5
245.000,4
249.900,6
254.800,7
259.700,5
264.600,7
269.500,10
274.400,10
279.300,12
284.200,16
289.100,18
294.000,26
298.900,31
303.800,46
308.700,60
313.600,86
318.500,114
323.400,150
328.300,184
333.200,211
338.100,212
343.000,189
347.900,150
352.800,121
357.700,92
362.600,73
367.500,59
372.400,50
377.300,40
382.200,36
387.100,29
392.000,23
396.900,18
401.800,17
406.700,15
411.600,13
416.500,8
421.400,10
426.300,12
431.200,11
436.100,6
441.000,5
445.900,5
450.800,7
455.700,5
460.600,5
465.500,5
470.400,5
475.300,5
480.200,4
485.100,4
490.000,5
494.900,6
499.800,5
504.700,6
509.600,5
514.500,5
519.400,4
524.300,3
529.200,4
534.100,4
539.000,3
543.900,3
548.800,3
553.700,4
558.600,4
563.500,2
568.400,1
573.300,3
578.200,3
583.100,3
588.000,4
592.900,3
597.800,2
602.700,3
607.600,4
612.500,3
617.400,4
622.300,4
627.200,4
632.100,4
637.000,3
641.900,3
646.800,2
651.700,4
656.600,4
661.500,3
666.400,2
671.300,2
676.200,2
681.100,1
686.000,1
690.900,1
695.800,2
700.700,0
705.600,0
710.500,1
715.400,2
